runid,epoch,trainloss,vallos,trainacc,valacc
1,1,70.42734444141388,69.15863859653473,0.51,0.53
1,2,67.1301294863224,71.9448204934597,0.61,0.49
1,3,68.3043027818203,68.31538653373718,0.58,0.57
1,4,68.45700293779373,69.32820588350296,0.54,0.5
1,5,69.46861758828163,69.47122776508331,0.53,0.48
1,6,66.31680491566658,72.89447203278542,0.61,0.48
1,7,64.3353468477726,73.96247792243958,0.64,0.45
1,8,65.67454996705055,69.11001193523407,0.57,0.54
1,9,59.401286736130714,69.2119038105011,0.69,0.52
1,10,58.37913204729557,72.95619535446167,0.7,0.52
2,1,66.3445760011673,71.43502587080002,0.63,0.53
2,2,66.97521075606346,69.80118983983994,0.57,0.48
2,3,66.946861743927,69.36574274301529,0.61,0.51
2,4,64.46856528520584,68.8559984266758,0.7,0.51
2,5,58.79974606633186,70.70480960607529,0.7,0.55
2,6,63.64195644855499,69.12841641902924,0.64,0.55
2,7,50.83958926796913,72.62890130281448,0.81,0.52
2,8,47.31639640033245,70.26065823435783,0.81,0.51
2,9,34.75894971191883,69.51470562815666,0.85,0.58
2,10,13.17180198431015,93.20160344988108,0.98,0.49
3,1,70.0251761674881,69.42640167474747,0.49,0.53
3,2,69.66650122404099,68.9914283156395,0.5,0.54
3,3,70.11841130256653,69.32151561975479,0.48,0.5
3,4,69.060127556324,70.01118230819702,0.52,0.46
3,5,67.74514555931091,69.90232092142105,0.58,0.5
3,6,67.73974525928497,69.29474890232086,0.58,0.49
3,7,62.64608961343765,68.50325131416321,0.75,0.55
3,8,31.0179036334157,72.83841881155968,0.94,0.64
3,9,11.541095651686192,106.11567436903715,1.0,0.52
3,10,8.917358972132206,125.20655646175146,1.0,0.47
