runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
1,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
2,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
3,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
4,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
5,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
6,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
7,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
8,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
9,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
10,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
11,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
12,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
13,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
14,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
15,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
16,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
17,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
18,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
19,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
20,first,10,1000,100,False,1000,2,1,64,False,1e-05,0.0003
21,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
22,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
23,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
24,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
25,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
26,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
27,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
28,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
29,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
30,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
31,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
32,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
33,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
34,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
35,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
36,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
37,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
38,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
39,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
40,first,300,1000,100,False,1000,2,1,64,False,1e-05,0.0003
