runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
1,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
2,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
3,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
4,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
5,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
6,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
7,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
8,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
9,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
10,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
11,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
12,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
13,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
14,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
15,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
16,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
17,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
18,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
19,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
20,first,30,1000,100,False,1000,2,1,64,True,1e-05,0.0003
21,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
22,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
23,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
24,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
25,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
26,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
27,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
28,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
29,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
30,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
31,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
32,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
33,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
34,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
35,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
36,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
37,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
38,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
39,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
40,first,100,1000,100,False,1000,2,1,64,True,1e-05,0.0003
