runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
13,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
14,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
15,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
16,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
17,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
18,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
19,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
20,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
21,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
22,one,10,10,100,True,100,2,1,64,False,1e-05,0.0003
23,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
24,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
25,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
26,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
27,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
28,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
29,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
30,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
31,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
32,one,20,10,100,True,100,2,1,64,False,1e-05,0.0003
33,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
34,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
35,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
36,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
37,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
38,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
39,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
40,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
41,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
42,one,30,10,100,True,100,2,1,64,False,1e-05,0.0003
43,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
44,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
45,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
46,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
47,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
48,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
49,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
50,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
51,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
52,one,50,50,100,True,100,2,1,64,False,1e-05,0.0003
53,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
54,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
55,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
56,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
57,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
58,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
59,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
60,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
61,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
62,one,70,70,100,True,100,2,1,64,False,1e-05,0.0003
63,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
64,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
65,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
66,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
67,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
68,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
69,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
70,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
71,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
72,one,100,100,100,True,100,2,1,64,False,1e-05,0.0003
73,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
74,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
75,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
76,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
77,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
78,one,200,200,100,True,100,2,1,64,False,1e-05,0.0003
