runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
1,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
2,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
3,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
4,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
5,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
6,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
7,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
8,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
9,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
10,palindrome,10,10,100,False,100,2,1,64,False,1e-05,0.0003
11,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
12,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
13,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
14,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
15,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
16,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
17,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
18,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
19,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
20,palindrome,20,10,100,False,100,2,1,64,False,1e-05,0.0003
21,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
22,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
23,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
24,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
25,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
26,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
27,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
28,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
29,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
30,palindrome,30,10,100,False,100,2,1,64,False,1e-05,0.0003
31,palindrome,50,50,100,False,100,2,1,64,False,1e-05,0.0003
32,palindrome,50,50,100,False,100,2,1,64,False,1e-05,0.0003
33,palindrome,50,50,100,False,100,2,1,64,False,1e-05,0.0003
34,palindrome,50,50,100,False,100,2,1,64,False,1e-05,0.0003
