runid,epoch,trainloss,vallos,trainacc,valacc
1,1,0.7261395227909088,0.6955077570676803,0.41,0.46
1,2,0.6908557689189911,0.697333100438118,0.56,0.54
1,3,0.7073678576946258,0.6912723869085312,0.51,0.53
1,4,0.6933370792865753,0.708957827091217,0.52,0.48
1,5,0.6990723240375519,0.6949097383022308,0.5,0.46
1,6,0.6974332553148269,0.6921006143093109,0.47,0.54
1,7,0.6940637445449829,0.686442313194275,0.54,0.56
1,8,0.6973727935552597,0.689711281657219,0.52,0.61
1,9,0.7082593289017677,0.6914525121450424,0.39,0.53
1,10,0.6970470911264419,0.6828432822227478,0.49,0.58
1,11,0.6956176131963729,0.7209046983718872,0.55,0.43
1,12,0.7008417755365371,0.6915637761354446,0.47,0.51
1,13,0.6917571330070496,0.6891294330358505,0.54,0.54
1,14,0.7026308727264404,0.6878232258558273,0.46,0.55
1,15,0.6920600539445877,0.6741204422712326,0.56,0.61
1,16,0.6939727163314819,0.6931360709667206,0.49,0.43
1,17,0.6997151881456375,0.7030090647935867,0.47,0.42
1,18,0.6951574873924256,0.7006417036056518,0.5,0.45
1,19,0.6984075826406478,0.6873150199651719,0.52,0.64
1,20,0.6958697474002838,0.6691860038042069,0.49,0.62
1,21,0.7072481942176819,0.6934277242422104,0.45,0.39
1,22,0.6955893141031265,0.6965253806114197,0.38,0.47
1,23,0.6970745319128037,0.6878537052869796,0.53,0.58
1,24,0.6981606304645538,0.6927858579158783,0.45,0.51
1,25,0.6777670416235924,0.7070846086740494,0.61,0.52
1,26,0.6990314370393753,0.7142025685310364,0.53,0.43
1,27,0.6993312621116639,0.6921706974506379,0.52,0.52
1,28,0.6973407012224198,0.6932994818687439,0.48,0.51
1,29,0.6950266814231872,0.6902687877416611,0.54,0.54
1,30,0.691617591381073,0.6922016990184784,0.52,0.53
1,31,0.6965184134244918,0.695229075551033,0.53,0.52
1,32,0.6972059065103531,0.6990085721015931,0.52,0.49
1,33,0.6723551440238953,0.6873117136955261,0.62,0.56
1,34,0.7061515271663665,0.7119022411108017,0.51,0.39
1,35,0.6979715073108673,0.6985611635446548,0.49,0.45
1,36,0.6933548599481583,0.6959584575891494,0.54,0.51
1,37,0.6979335373640061,0.7038524109125137,0.47,0.38
1,38,0.6981006616353989,0.6940060251951218,0.46,0.44
1,39,0.6938603883981704,0.6943354231119155,0.56,0.51
1,40,0.6967747497558594,0.6868139725923538,0.47,0.57
1,41,0.6952530187368393,0.6926978582143783,0.53,0.52
1,42,0.6964999502897262,0.697135825753212,0.47,0.47
1,43,0.6949542778730392,0.696961965560913,0.52,0.48
1,44,0.6955911219120026,0.6939518684148789,0.42,0.47
1,45,0.6840090596675873,0.6724114608764649,0.56,0.61
1,46,0.6999542480707168,0.6946802198886871,0.5,0.5
1,47,0.6952935951948166,0.6959547960758209,0.46,0.48
1,48,0.694241007566452,0.6845907628536224,0.51,0.57
1,49,0.6985819619894028,0.6911952191591263,0.48,0.49
1,50,0.6963099789619446,0.6931491231918335,0.47,0.41
1,51,0.6770730465650558,0.7112209177017212,0.63,0.49
1,52,0.7084478449821472,0.6914629077911377,0.45,0.46
1,53,0.6967474263906479,0.685771861076355,0.5,0.58
1,54,0.6977240723371506,0.6902517062425614,0.35,0.55
1,55,0.6932015722990036,0.6934325563907623,0.51,0.48
1,56,0.6945073813199997,0.6933627825975418,0.43,0.51
1,57,0.6949821954965592,0.6915155881643296,0.46,0.53
1,58,0.6930983465909958,0.6938527530431747,0.55,0.51
1,59,0.6842279136180878,0.7099992251396179,0.58,0.47
1,60,0.702553943991661,0.6926898837089539,0.49,0.5
1,61,0.697107093334198,0.6929695361852646,0.48,0.49
1,62,0.6860076957941055,0.6873483508825302,0.57,0.56
1,63,0.6921108341217042,0.7063645768165588,0.55,0.49
1,64,0.6775113934278488,0.7082714712619782,0.6,0.49
1,65,0.6925807970762253,0.7116164356470108,0.55,0.45
1,66,0.6935888254642486,0.6805300080776214,0.57,0.58
1,67,0.6943382596969605,0.6886345815658569,0.54,0.55
1,68,0.6950955656170845,0.6857703286409378,0.47,0.56
1,69,0.6959594053030014,0.691306362748146,0.51,0.51
1,70,0.6942515867948532,0.7049503636360168,0.53,0.42
1,71,0.689707020521164,0.6911993822455407,0.55,0.52
1,72,0.6910523569583893,0.6904885649681092,0.55,0.52
1,73,0.6953308922052384,0.6820391702651978,0.5,0.64
1,74,0.6957405406236649,0.6873054158687592,0.49,0.54
1,75,0.6874094048142433,0.6810304972529412,0.5,0.54
1,76,0.6874637621641159,0.6836444497108459,0.5,0.57
1,77,0.693068434894085,0.6729487547278404,0.46,0.55
1,78,0.6944713461399078,0.68796426653862,0.42,0.53
1,79,0.692325904071331,0.6903312957286835,0.46,0.47
1,80,0.6811203777790069,0.6881468790769577,0.57,0.49
1,81,0.7008365339040756,0.6802548418939114,0.44,0.49
1,82,0.6823827563226224,0.6739126348495483,0.51,0.55
1,83,0.6963842236995696,0.6946291136741638,0.41,0.47
1,84,0.6811483126878738,0.6925315642356873,0.48,0.54
1,85,0.6861474651098252,0.7007459062337875,0.58,0.49
1,86,0.6941440342366696,0.7021548759937286,0.53,0.43
1,87,0.6930488403141498,0.6843479475378991,0.49,0.49
1,88,0.6914204452931881,0.6914240275323391,0.47,0.4
1,89,0.6865577158331871,0.6820271076261997,0.56,0.56
1,90,0.6870032973587513,0.6866953492164611,0.48,0.61
1,91,0.6906980925798416,0.6916687113046646,0.5,0.54
1,92,0.6944595307111741,0.6928468227386475,0.5,0.61
1,93,0.6562880119681358,0.682837955057621,0.54,0.52
1,94,0.6951229625940323,0.6896044318377972,0.43,0.49
1,95,0.689878588616848,0.6777703794836998,0.51,0.47
1,96,0.6843275827169418,0.6784109669923782,0.5,0.55
1,97,0.6852547737956047,0.664535428583622,0.58,0.63
1,98,0.6884903937578202,0.693640433549881,0.55,0.52
1,99,0.6738694825768471,0.6964083123207092,0.52,0.42
1,100,0.6968436741828918,0.6857752485573292,0.47,0.49
2,1,0.7203909319639206,0.6979649275541305,0.48,0.48
