runid,lan,train_length,test_length,size,varlen,epochs,layers,heads,d_ffnn,scaled,eps,lr
1,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
2,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
3,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
4,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
5,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
6,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
7,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
8,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
9,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
10,parity,10,10,100,False,100,2,1,64,False,1e-05,0.0003
11,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
12,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
13,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
14,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
15,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
16,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
17,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
18,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
19,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
20,parity,20,10,100,False,100,2,1,64,False,1e-05,0.0003
21,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
22,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
23,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
24,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
25,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
26,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
27,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
28,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
29,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
30,parity,30,10,100,False,100,2,1,64,False,1e-05,0.0003
31,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
32,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
33,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
34,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
35,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
36,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
37,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
38,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
39,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
40,parity,50,50,100,False,100,2,1,64,False,1e-05,0.0003
41,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
42,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
43,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
44,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
45,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
46,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
47,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
48,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
49,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
50,parity,70,70,100,False,100,2,1,64,False,1e-05,0.0003
51,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
52,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
53,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
54,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
55,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
56,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
57,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
58,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
59,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
60,parity,100,100,100,False,100,2,1,64,False,1e-05,0.0003
61,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
62,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
63,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
64,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
65,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
66,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
67,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
68,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
69,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
70,parity,200,200,100,False,100,2,1,64,False,1e-05,0.0003
71,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
72,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
73,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
74,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
75,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
76,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
77,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
78,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
79,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
80,parity,300,300,100,False,100,2,1,64,False,1e-05,0.0003
81,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
82,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
83,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
84,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
85,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
86,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
87,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
88,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
89,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
90,parity,400,300,100,False,100,2,1,64,False,1e-05,0.0003
91,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
92,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
93,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
94,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
95,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
96,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
97,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
98,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
99,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
100,parity,500,500,100,False,100,2,1,64,False,1e-05,0.0003
101,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
102,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
103,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
104,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
105,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
106,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
107,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
108,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
109,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
110,parity,750,750,100,False,100,2,1,64,False,1e-05,0.0003
111,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
112,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
113,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
114,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
115,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
116,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
117,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
118,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
119,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
120,parity,1000,1000,100,False,100,2,1,64,False,1e-05,0.0003
