runid,epoch,trainloss,vallos,trainacc,valacc
1,1,0.7009534388780594,0.6985496073961258,0.47,0.48
1,2,0.7035339012742042,0.6875184231996536,0.5,0.55
1,3,0.6921032601594925,0.7231983709335327,0.55,0.44
1,4,0.7058426985144615,0.6993026268482209,0.49,0.49
1,5,0.7013971292972565,0.6925641959905624,0.46,0.52
1,6,0.701635719537735,0.6888537549972534,0.46,0.55
1,7,0.696615824997425,0.7081251311302185,0.58,0.48
1,8,0.7092335245013237,0.6971162319183349,0.48,0.5
1,9,0.7011548995971679,0.6914778989553452,0.49,0.53
1,10,0.7007620847225189,0.7002679586410523,0.43,0.43
1,11,0.6956284350156784,0.6989602953195572,0.51,0.48
1,12,0.6914580249786377,0.7062066435813904,0.55,0.46
1,13,0.6987559139728546,0.7140373343229294,0.47,0.44
1,14,0.688568964600563,0.7022212672233582,0.53,0.51
1,15,0.6611355245113373,0.7608458352088928,0.63,0.45
1,16,0.7211701512336731,0.7034602349996567,0.45,0.43
1,17,0.6949115645885467,0.7044093334674835,0.55,0.43
1,18,0.6991965401172638,0.6957532066106796,0.46,0.48
1,19,0.7006418085098267,0.6930651700496674,0.48,0.5
1,20,0.6965618747472763,0.6968475800752639,0.51,0.46
1,21,0.695278353691101,0.7028993189334869,0.5,0.44
1,22,0.6902263915538788,0.7027918881177903,0.56,0.47
1,23,0.6974385076761246,0.68949558198452,0.52,0.55
1,24,0.6966721332073211,0.681715982556343,0.54,0.59
1,25,0.6925436633825303,0.690995277762413,0.49,0.52
1,26,0.6985978734493256,0.6962663006782531,0.49,0.46
1,27,0.7001634711027145,0.6974171268939972,0.48,0.51
1,28,0.698154376745224,0.6920437550544739,0.51,0.51
1,29,0.6961748290061951,0.6878941005468369,0.51,0.53
1,30,0.7028910809755325,0.6891334229707717,0.43,0.53
1,31,0.7010108107328414,0.6935008388757705,0.48,0.48
1,32,0.6994291245937347,0.6934849411249161,0.51,0.53
1,33,0.6952148079872131,0.7000136303901673,0.51,0.46
1,34,0.6991885381937027,0.6939247888326645,0.46,0.46
1,35,0.6957479250431061,0.6956822168827057,0.43,0.47
1,36,0.6962662088871002,0.6871106112003327,0.47,0.56
1,37,0.7024336415529251,0.7026990747451782,0.45,0.43
1,38,0.6992148572206497,0.6917086529731751,0.31,0.56
1,39,0.6974534630775452,0.7002046340703965,0.47,0.43
1,40,0.6965858870744706,0.6899196571111679,0.52,0.54
1,41,0.6911838370561599,0.6890355801582336,0.57,0.55
1,42,0.6856334435939789,0.7191743832826615,0.57,0.42
1,43,0.7023172771930695,0.6940503245592118,0.47,0.47
1,44,0.6817478263378143,0.6986096501350403,0.61,0.52
1,45,0.6798379242420196,0.7140245908498764,0.59,0.49
1,46,0.7048016703128814,0.6933950173854828,0.49,0.49
1,47,0.6974350118637085,0.6954452365636825,0.49,0.49
1,48,0.6949891358613968,0.7004114866256714,0.52,0.44
1,49,0.6987473684549331,0.6932954812049865,0.47,0.44
1,50,0.695851492881775,0.6933337604999542,0.48,0.48
1,51,0.6912503004074096,0.6825422465801239,0.5,0.58
1,52,0.698567568063736,0.697893128991127,0.5,0.46
1,53,0.696717010140419,0.6913435989618302,0.5,0.54
1,54,0.6978724616765976,0.6929888415336609,0.39,0.51
1,55,0.697900465130806,0.6948192638158798,0.51,0.45
1,56,0.6914953285455704,0.6906427419185639,0.5,0.54
1,57,0.6976765680313111,0.7037479406595231,0.51,0.45
1,58,0.6932049423456192,0.7046891838312149,0.54,0.45
1,59,0.699358127117157,0.6923755371570587,0.49,0.51
1,60,0.6903923928737641,0.7002572762966156,0.57,0.47
1,61,0.6984726756811142,0.6883927553892135,0.44,0.57
1,62,0.700160950422287,0.6948207432031631,0.49,0.43
1,63,0.6918436509370803,0.687429279088974,0.54,0.55
1,64,0.6923355329036712,0.7062971657514572,0.54,0.44
1,65,0.6970723432302475,0.6930458778142929,0.51,0.52
1,66,0.6958959859609604,0.6921415919065476,0.51,0.53
1,67,0.6961851179599762,0.6971152740716934,0.51,0.47
1,68,0.6973223876953125,0.693505893945694,0.44,0.43
1,69,0.6944385343790054,0.6911513674259185,0.49,0.54
1,70,0.6973751413822175,0.6937629210948945,0.47,0.49
1,71,0.6962657660245896,0.6939550542831421,0.43,0.47
1,72,0.6865154522657394,0.6991852581501007,0.57,0.49
1,73,0.7008105105161667,0.6920448023080826,0.45,0.5
1,74,0.6951702797412872,0.6933903962373733,0.48,0.52
1,75,0.697570635676384,0.6916016829013825,0.37,0.56
1,76,0.6972606593370437,0.6922868674993515,0.5,0.57
1,77,0.6984465163946152,0.6932021272182465,0.52,0.5
1,78,0.6884778350591659,0.7075925070047379,0.56,0.47
1,79,0.7012000221014023,0.6925576186180115,0.44,0.55
1,80,0.6951075565814971,0.6887979608774185,0.5,0.57
1,81,0.6933792644739151,0.6966480487585067,0.53,0.43
1,82,0.6961123740673065,0.6940483713150024,0.48,0.48
1,83,0.6965016674995422,0.6929693984985351,0.49,0.5
1,84,0.6944348198175431,0.6928082847595215,0.5,0.48
1,85,0.692725561261177,0.6957456982135772,0.52,0.44
1,86,0.6976880729198456,0.6919055753946304,0.48,0.55
